oid,gender,role_count,birth_year,decade
4da1a095b538b73d93016d75,"""female""",2.0,1928,1920s
4da1a0d0b538b73d93016fea,"""male""",1.0,1913,1910s
4da1a0e2b538b73d9301711c,"""male""",1.0,1919,1910s
4da1a0f8b538b73d9301722a,"""male""",5.0,1953,1950s
4da1a122b538b73d93017337,"""male""",4.0,1952,1950s
4da1a123b538b73d9301735d,"""male""",1.0,1954,1950s
4da1bb21b538b73d930227df,"""female""",1.0,1954,1950s
4da1a12ab538b73d930173fb,"""female""",2.0,1916,1910s
4da1a131b538b73d93017494,"""male""",1.0,1944,1940s
4da1a141b538b73d930174fe,"""female""",2.0,1953,1950s
4da1a15cb538b73d93017613,"""male""",3.0,1936,1930s
4da1afbbb538b73d9301d8cf,"""female""",2.0,1952,1950s
4da1b555b538b73d9301f5e6,"""female""",5.0,1967,1960s
4da1ddf7b538b73d930290de,"""female""",5.0,1980,1980s
4e1f928672edc24d91000310,"""male""",2.0,1937,1930s
4da1a16cb538b73d930177f2,"""male""",1.0,1937,1930s
4e52119fd707ff1dc70087de,"""female""",2.0,1950,1950s
4e5f146dd707ff777d000030,"""male""",3.0,1920,1920s
4da1a1efb538b73d93017d52,"""male""",4.0,1957,1950s
4da1a1fbb538b73d93017e38,"""male""",3.0,1925,1920s
4da1a211b538b73d93017ecf,"""male""",2.0,1944,1940s
4da1a228b538b73d93017f6c,"""female""",1.0,1903,1900s
4e520759d707ff1dc70033d0,"""female""",2.0,1913,1910s
4da1beefb538b73d9302493e,"""female""",8.0,1973,1970s
4da1a25cb538b73d93018148,"""female""",4.0,1927,1920s
4da1a267b538b73d9301820d,"""male""",2.0,1935,1930s
4ff7c0bcd707ff62f1000013,"""male""",3.0,1951,1950s
4da1a2b8b538b73d930185c1,"""male""",4.0,1927,1920s
4da1a2bab538b73d9301864e,"""male""",2.0,1939,1930s
505700d8d707ff359000000a,"""male""",1.0,1977,1970s
4da1a275b538b73d93018288,"""male""",5.0,1942,1940s
51582b31d707ff422f0015e7,"""female""",3.0,1903,1900s
4da1a2d8b538b73d93018825,"""male""",6.0,1915,1910s
4da1d00eb538b73d93027a39,"""male""",3.0,1942,1940s
4da1a309b538b73d93018a5b,"""female""",1.0,1938,1930s
4da1a386b538b73d93018c7f,"""male""",1.0,1917,1910s
4da1a375b538b73d93018c40,"""female""",1.0,1940,1940s
4da1dd69b538b73d93028e25,"""male""",1.0,1968,1960s
4da1bd98b538b73d93024016,"""male""",5.0,1921,1920s
4da1afa9b538b73d9301d824,"""male""",1.0,1905,1900s
4def0fa972edc238d700001c,"""male""",2.0,1980,1980s
4da1a3f2b538b73d930192a6,"""male""",1.0,1913,1910s
4da196afb538b73d93008d76,"""male""",3.0,1919,1910s
4da1a420b538b73d9301937b,"""male""",1.0,1919,1910s
4da1a42bb538b73d930193f2,"""male""",4.0,1946,1940s
4e520cead707ff1dc70064e8,"""male""",2.0,1941,1940s
4da1b7e5b538b73d93020d07,"""male""",5.0,1946,1940s
4da1a4f1b538b73d93019812,"""male""",5.0,1927,1920s
4da1a52bb538b73d9301990b,"""female""",1.0,1906,1900s
4da1a53bb538b73d93019a89,"""male""",4.0,1919,1910s
4ee49722d707ff75d1000003,"""male""",1.0,1928,1920s
51582bb1d707ff422f001667,"""male""",5.0,1924,1920s
4edae369d707ff70b5000004,"""male""",1.0,1932,1930s
4da1a79cb538b73d9301a3aa,"""male""",2.0,1943,1940s
4da1a79db538b73d9301a3e8,"""male""",2.0,1920,1920s
4da1a7a4b538b73d9301a48d,"""female""",3.0,1971,1970s
4da1b2f2b538b73d9301e80b,"""male""",3.0,1918,1910s
4f0443ccd707ff2988000007,"""male""",2.0,1933,1930s
4da1ca9fb538b73d93026dc4,"""male""",3.0,1955,1950s
4da1dc7cb538b73d93028c90,"""female""",4.0,1957,1950s
4da1ce89b538b73d93027617,"""female""",3.0,1975,1970s
4da1a816b538b73d9301a860,"""male""",1.0,1950,1950s
4da1a81bb538b73d9301a8bb,"""male""",1.0,1904,1900s
4da1b1f6b538b73d9301e27a,"""female""",3.0,1937,1930s
513fe4a0d707ff6bcd00206c,"""male""",1.0,1926,1920s
4da1be71b538b73d93024609,"""male""",5.0,1978,1970s
4da1a864b538b73d9301ab20,"""female""",1.0,1910,1910s
4da1b6d8b538b73d93020658,"""male""",7.0,1950,1950s
4da1cbefb538b73d930270ca,"""male""",4.0,1949,1940s
4da1a8aab538b73d9301ada7,"""male""",1.0,1945,1940s
4da1ab78b538b73d9301bf37,"""male""",1.0,1910,1910s
4da1a8b8b538b73d9301ae3c,"""male""",4.0,1925,1920s
4da1a910b538b73d9301ae95,"""male""",3.0,1943,1940s
4da1a911b538b73d9301aed2,"""male""",1.0,1925,1920s
4da19f84b538b73d93016221,"""male""",5.0,1932,1930s
